,Hi,Wa,Rm,Wm,Te
139,1000.0,3.0,1.0,5.0,10.0
140,1100.0,3.0,1.0,6.0,10.0
141,6000.0,4.0,1.0,5.0,12.0
142,2140.0,3.0,1.0,11.0,7.0
143,2000.0,3.0,1.0,5.0,7.0
144,0.0,3.0,1.0,6.0,18.0
145,1000.0,3.0,10.0,5.0,5.0
146,1100.0,2.0,1.0,11.0,18.0
147,2200.0,3.0,1.0,11.0,18.0
148,1000.0,3.0,1.0,11.0,18.0
149,0.0,2.0,1.0,5.0,1.0
150,1000.0,3.0,1.0,5.0,1.0
151,1100.0,3.0,1.0,11.0,17.0
152,1100.0,4.0,10.0,6.0,17.0
153,3000.0,3.0,1.0,6.0,12.0
154,2000.0,3.0,1.0,6.0,2.0
155,4000.0,3.0,1.0,6.0,12.0
156,1100.0,3.0,1.0,11.0,12.0
157,3200.0,3.0,1.0,6.0,11.0
158,1400.0,3.0,1.0,5.0,18.0
159,1100.0,2.0,1.0,11.0,18.0
160,0.0,3.0,1.0,6.0,12.0
161,7000.0,3.0,1.0,11.0,14.0
162,1100.0,3.0,1.0,6.0,14.0
163,3000.0,3.0,1.0,6.0,12.0
164,0.0,4.0,1.0,5.0,12.0
165,0.0,4.0,1.0,5.0,1.0
166,400.0,3.0,1.0,5.0,18.0
167,5000.0,3.0,1.0,5.0,18.0
168,1160.0,3.0,1.0,11.0,18.0
169,1140.0,3.0,1.0,6.0,18.0
170,1140.0,3.0,1.0,11.0,18.0
171,0.0,3.0,1.0,1.0,18.0
172,1140.0,3.0,1.0,6.0,18.0
173,1140.0,3.0,1.0,6.0,18.0
174,7000.0,4.0,1.0,6.0,18.0
175,1140.0,3.0,1.0,5.0,18.0
176,0.0,3.0,1.0,5.0,23.0
177,5280.0,3.0,1.0,6.0,23.0
178,4500.0,3.0,1.0,6.0,23.0
179,1140.0,3.0,1.0,6.0,23.0
180,1110.0,3.0,1.0,5.0,9.0
181,1140.0,3.0,1.0,6.0,17.0
182,0.0,3.0,1.0,6.0,10.0
183,1500.0,3.0,1.0,11.0,3.0
184,500.0,3.0,1.0,5.0,18.0
185,3800.0,3.0,1.0,6.0,23.0
186,3000.0,3.0,1.0,1.0,6.0
187,1140.0,3.0,1.0,5.0,4.0
188,5140.0,3.0,1.0,6.0,20.0
189,1160.0,3.0,1.0,5.0,18.0
190,0.0,3.0,1.0,11.0,5.0
191,4140.0,4.0,1.0,6.0,18.0
192,7000.0,3.0,1.0,6.0,23.0
193,0.0,3.0,1.0,11.0,18.0
194,6000.0,4.0,1.0,5.0,23.0
195,0.0,3.0,1.0,11.0,18.0
196,1160.0,3.0,1.0,5.0,18.0
197,3400.0,3.0,1.0,11.0,18.0
198,1400.0,3.0,1.0,6.0,1.0
199,3140.0,3.0,1.0,11.0,18.0
200,0.0,3.0,1.0,6.0,17.0
201,4000.0,3.0,1.0,5.0,18.0
202,1160.0,3.0,1.0,5.0,7.0
203,2280.0,3.0,1.0,5.0,8.0
204,1140.0,3.0,1.0,5.0,8.0
205,0.0,3.0,1.0,6.0,7.0
206,0.0,3.0,1.0,6.0,8.0
207,1140.0,2.0,1.0,5.0,2.0
208,0.0,3.0,1.0,4.0,7.0
209,0.0,3.0,1.0,6.0,8.0
210,1140.0,3.0,1.0,6.0,7.0
211,1140.0,3.0,1.0,4.0,8.0
212,1140.0,3.0,1.0,6.0,8.0
213,500.0,1.0,1.0,11.0,9.0
214,1140.0,3.0,1.0,5.0,8.0
215,3000.0,3.0,1.0,6.0,8.0
216,1000.0,3.0,1.0,5.0,8.0
217,3000.0,3.0,1.0,5.0,13.0
218,4400.0,3.0,1.0,5.0,8.0
219,2000.0,3.0,1.0,5.0,8.0
220,1140.0,3.0,1.0,6.0,8.0
221,0.0,3.0,1.0,6.0,7.0
222,0.0,3.0,1.0,5.0,8.0
223,1140.0,3.0,1.0,5.0,8.0
224,12000.0,4.0,8.0,4.0,30.0
225,700.0,3.0,1.0,4.0,8.0
226,0.0,4.0,1.0,4.0,8.0
